FIN.TRANSACTION DATE,FIN.POSTING DATE,FIN.TRANSACTION AMOUNT,MCH.MERCHANT NAME,MCH.CITY NAME,FIN.ORIGINAL CURRENCY AMOUNT,FIN.ORIGINAL ISO CURRENCY CODE SYMBOL,FIN.INET CONVERSION
2017-11-04,2017-12-04,329.4,WWW.ODONOVAN.CO.UK,LONDON,329.4,GBP,1.0
2017-11-04,2017-12-04,15.1,AMAZON UK MARKETPLACE,800-279-6620,15.1,GBP,1.0
2017-11-04,2017-12-04,5.99,AMAZON UK MARKETPLACE,800-279-6620,5.99,GBP,1.0
2017-12-04,2017-04-13,168.0,BR3620 JEWSON TOOL,HIGHGATE,168.0,GBP,1.0
2017-12-04,2017-04-13,52.0,A & Y LOCKSMITHS,LONDON,52.0,GBP,1.0
2017-04-24,2017-04-25,-26.88,BR3620 JEWSON TOOL,HIGHGATE,-26.88,GBP,1.0
2017-04-04,2017-05-04,93.65,TESCO STORE 2296,COLNEY HATCH,93.65,GBP,1.0
2017-11-04,2017-12-04,10.0,TFL OYST PHOTOCARD,0343 222 1234,10.0,GBP,1.0
2017-08-04,2017-10-04,17.44,BUILDER DEPOT LTD,LONDON  N11,17.44,GBP,1.0
2017-08-04,2017-10-04,12.89,WICKES,LONDON,12.89,GBP,1.0
2017-08-04,2017-10-04,121.89,WICKES,LONDON,121.89,GBP,1.0
2017-07-04,2017-10-04,26.65,SAINSBURYS 0513,NTH FINCHLEY,26.65,GBP,1.0
2017-07-04,2017-10-04,115.85,SAINSBURYS 0513,NTH FINCHLEY,115.85,GBP,1.0
2017-11-04,2017-12-04,21.3,B & Q 1067,LONDON,21.3,GBP,1.0
2017-11-04,2017-12-04,18.19,WICKES,LONDON,18.19,GBP,1.0
2017-12-04,2017-04-13,42.42,WICKES,LONDON,42.42,GBP,1.0
2017-04-20,2017-04-21,44.01,WICKES,LONDON,44.01,GBP,1.0
2017-04-22,2017-04-24,65.16,WICKES,LONDON,65.16,GBP,1.0
2017-04-25,2017-04-26,12.35,HOMEBASE LTD 024,LONDON  N11,12.35,GBP,1.0
2017-04-25,2017-04-26,74.72,BUILDER DEPOT N11,02084587700,74.72,GBP,1.0
2017-04-04,2017-05-04,35.0,TOP GOLF WATFORD,WATFORD,35.0,GBP,1.0
2017-05-04,2017-06-04,1.99,CO-OP GROUP FOOD,104320,1.99,GBP,1.0
2017-04-04,2017-06-04,16.0,TOP GOLF,WATFORD,16.0,GBP,1.0
2017-09-04,2017-10-04,81.62,H'VESTER ARNOS ARM,0208 3684456,81.62,GBP,1.0
2017-07-04,2017-10-04,7.3,TOP GOLF,WATFORD,7.3,GBP,1.0
2017-07-04,2017-10-04,48.0,TOP GOLF WATFORD,WATFORD,48.0,GBP,1.0
2017-04-28,2017-01-05,10.0,TFL OYST PHOTOCARD,0343 222 1234,10.0,GBP,1.0
2017-12-04,2017-04-13,24.42,AMAZON UK MARKETPLACE,800-279-6620,24.42,GBP,1.0
2017-04-15,2017-04-17,3.0,SAINSBURYS SACAT 4572,COLINDALE,3.0,GBP,1.0
2017-04-28,2017-01-05,159.9,BRILLIANT BINS,HUNGERFORD,159.9,GBP,1.0
2017-04-13,2017-04-14,300.0,SDS SEMINARS LIMITED,UCKFIELD,300.0,GBP,1.0
2017-04-25,2017-04-26,10.0,LUL TICKET MACHINE,FINCHLEY ROAD,10.0,GBP,1.0
2017-04-28,2017-01-05,24.0,DOMINO'S,WEMBLEY,24.0,GBP,1.0
2017-04-20,2017-04-21,5.29,AMAZON UK MARKETPLACE,800-279-6620,5.29,GBP,1.0
2017-04-22,2017-04-24,40.6,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,40.6,GBP,1.0
2017-04-26,2017-04-27,34.06,AMAZON UK MARKETPLACE,800-279-6620,34.06,GBP,1.0
2017-04-27,2017-01-05,92.99,PREMIER INN,COVENTRY,92.99,GBP,1.0
2017-03-04,2017-04-04,34.0,ASDA SUPERSTORE,S'GATE CIRCUS,34.0,GBP,1.0
2017-03-04,2017-04-04,139.64,TESCO STORES 6440,LONDON EN8,139.64,GBP,1.0
2017-04-04,2017-05-04,10.0,TFL OYST PHOTOCARD,0343 222 1234,10.0,GBP,1.0
2017-05-04,2017-06-04,100.0,JD SPORTS PLC,BR 710 ENFIEL,100.0,GBP,1.0
2017-06-04,2017-07-04,152.65,TESCO STORES 6440,LONDON EN8,152.65,GBP,1.0
2017-10-04,2017-11-04,57.6,UNIQUE OFFICE SOLU,ILFORD,57.6,GBP,1.0
2017-10-04,2017-11-04,-30.91,ASDA GEORGE COM LEEDS,LEEDS,-30.91,GBP,1.0
2017-10-04,2017-11-04,-176.25,YOUNGDRIVER,44844371901,-176.25,GBP,1.0
2017-12-04,2017-04-13,20.0,PABULUM CATERING,01252360565,20.0,GBP,1.0
2017-04-13,2017-04-14,100.0,JD SPORTS PLC,BR 710 ENFIEL,100.0,GBP,1.0
2017-12-04,2017-04-14,90.0,PARENTPAY E-COM R,BRIDGWATER,90.0,GBP,1.0
2017-04-15,2017-04-17,149.85,TESCO STORES 6440,LONDON EN8,149.85,GBP,1.0
2017-04-17,2017-04-18,66.3,MAKRO SELF SERVICE ENF,MIDDLESEX,66.3,GBP,1.0
2017-04-18,2017-04-19,27.0,SAINSBURYS 0420,WINCHMORE HIL,27.0,GBP,1.0
2017-04-19,2017-04-20,4.0,SAINSBURYS SACAT 0124,BARNET,4.0,GBP,1.0
2017-04-20,2017-04-21,10.0,TFL OYST PHOTOCARD,0343 222 1234,10.0,GBP,1.0
2017-04-21,2017-04-24,25.38,QUEEN ELIZABETHS GIRL,BARNET,25.38,GBP,1.0
2017-04-21,2017-04-24,77.79,WWW.CICSLIMITED.CO.UK,INTERNET,77.79,GBP,1.0
2017-04-23,2017-04-25,74.3,SKY SUBSCRIPTION,08442411653,74.3,GBP,1.0
2017-04-25,2017-04-27,60.0,PARENTPAY E-COM R,BRIDGWATER,60.0,GBP,1.0
2017-04-27,2017-04-28,144.71,TESCO STORES 6440,LONDON EN8,144.71,GBP,1.0
2017-01-05,2017-02-05,151.21,TESCO STORES 6440,LONDON EN8,151.21,GBP,1.0
2017-02-05,2017-03-05,10.0,PABULUM CATERING,01252360565,10.0,GBP,1.0
2017-11-04,2017-12-04,265.0,L.B BARNET PEST CO,LONDON  N11,265.0,GBP,1.0
2017-12-04,2017-04-13,39.0,TESCO STORES 6440,LONDON EN8,39.0,GBP,1.0
2017-04-24,2017-04-25,83.25,TESCO STORES 6440,LONDON EN8,83.25,GBP,1.0
2017-05-04,2017-06-04,89.98,AMAZON EU,AMAZON.CO.UK,89.98,GBP,1.0
2017-06-04,2017-10-04,13.98,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,13.98,GBP,1.0
2017-10-04,2017-11-04,8.05,TOOLSTATION LTD,NEW SOUTHGATE,8.05,GBP,1.0
2017-10-04,2017-11-04,62.06,TOOLSTATION LTD,NEW SOUTHGATE,62.06,GBP,1.0
2017-04-20,2017-04-21,327.34,SELCO TRADING CTR,NEW SOUTHGATE,327.34,GBP,1.0
2017-04-27,2017-04-28,20.0,OYSTER AUTOTOPUP,0343 2221234,20.0,GBP,1.0
2017-04-29,2017-01-05,33.99,AMAZON UK MARKETPLACE,800-279-6620,33.99,GBP,1.0
2017-04-04,2017-05-04,-199.99,AMZ SHARK UK,800-279-6620,-199.99,GBP,1.0
2017-04-04,2017-05-04,0.5,L B BARNET PARKING,LONDON,0.5,GBP,1.0
2017-05-04,2017-06-04,621.6,WWW.OFFICEFURNITUREONL,INTERNET,621.6,GBP,1.0
2017-05-04,2017-06-04,621.6,WWW.OFFICEFURNITUREONL,INTERNET,621.6,GBP,1.0
2017-10-04,2017-11-04,119.96,AMAZON UK MARKETPLACE,800-279-6620,119.96,GBP,1.0
2017-10-04,2017-11-04,13.99,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,13.99,GBP,1.0
2017-12-04,2017-12-04,24.52,AMAZON UK MARKETPLACE,800-279-6620,24.52,GBP,1.0
2017-11-04,2017-12-04,8.89,AMAZON EU,AMAZON.CO.UK,8.89,GBP,1.0
2017-11-04,2017-12-04,39.38,AMAZON UK MARKETPLACE,800-279-6620,39.38,GBP,1.0
2017-11-04,2017-12-04,11.49,AMAZON UK MARKETPLACE,800-279-6620,11.49,GBP,1.0
2017-11-04,2017-12-04,4.95,AMAZON UK MARKETPLACE,800-279-6620,4.95,GBP,1.0
2017-11-04,2017-12-04,746.4,WWW.OFFICEFURNITUREONL,INTERNET,746.4,GBP,1.0
2017-11-04,2017-12-04,4.99,AMAZON UK MARKETPLACE,800-279-6620,4.99,GBP,1.0
2017-11-04,2017-12-04,56.7,AMAZON UK MARKETPLACE,800-279-6620,56.7,GBP,1.0
2017-12-04,2017-04-13,119.98,AMAZON UK MARKETPLACE,800-279-6620,119.98,GBP,1.0
2017-11-04,2017-04-13,11.49,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,11.49,GBP,1.0
2017-04-13,2017-04-14,18.0,AMAZON EU,AMAZON.CO.UK,18.0,GBP,1.0
2017-04-18,2017-04-19,59.98,AMAZON UK MARKETPLACE,800-279-6620,59.98,GBP,1.0
2017-04-25,2017-04-27,14.99,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,14.99,GBP,1.0
2017-01-05,2017-02-05,86.38,AMAZON UK MARKETPLACE,800-279-6620,86.38,GBP,1.0
2017-02-05,2017-03-05,25.67,AMAZON UK MARKETPLACE,800-279-6620,25.67,GBP,1.0
2017-05-04,2017-06-04,192.78,SAINSBURYS TO YOU 0444,ENFIELD,192.78,GBP,1.0
2017-05-04,2017-06-04,-2.05,SAINSBURYS TO YOU 0444,ENFIELD,-2.05,GBP,1.0
2017-06-04,2017-07-04,74.3,ASDA SUPERSTORE,S'GATE CIRCUS,74.3,GBP,1.0
2017-04-13,2017-04-14,9.9,SAINSBURYS 0513,NTH FINCHLEY,9.9,GBP,1.0
2017-04-13,2017-04-14,161.43,SAINSBURYS 0513,NTH FINCHLEY,161.43,GBP,1.0
2017-04-17,2017-04-18,207.3,SAINSBURYS TO YOU 0444,ENFIELD,207.3,GBP,1.0
2017-04-20,2017-04-21,63.03,ASDA SUPERSTORE,S'GATE CIRCUS,63.03,GBP,1.0
2017-04-20,2017-04-21,87.54,AMAZON UK MARKETPLACE,800-279-6620,87.54,GBP,1.0
2017-04-22,2017-04-24,30.94,AMAZON UK MARKETPLACE,800-279-6620,30.94,GBP,1.0
2017-04-21,2017-04-24,3.38,AMAZON UK MARKETPLACE,800-279-6620,3.38,GBP,1.0
2017-04-21,2017-04-24,280.5,WWW.EUREKADIRECT.CO.UK,INTERNET,280.5,GBP,1.0
2017-04-20,2017-04-24,39.58,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,39.58,GBP,1.0
2017-04-24,2017-04-25,123.39,ASDA SUPERSTORE,S'GATE CIRCUS,123.39,GBP,1.0
2017-04-24,2017-04-25,10.0,POST OFFICE COUNTER,LONDON,10.0,GBP,1.0
2017-04-26,2017-04-27,33.02,ASDA SUPERSTORE,S'GATE CIRCUS,33.02,GBP,1.0
2017-04-27,2017-04-28,20.0,SAINSBURYS,LONDON,20.0,GBP,1.0
2017-04-28,2017-01-05,40.6,SAINSBURYS 0513,NTH FINCHLEY,40.6,GBP,1.0
2017-04-28,2017-01-05,178.18,SAINSBURYS 0513,NTH FINCHLEY,178.18,GBP,1.0
2017-01-05,2017-02-05,151.48,SAINSBURYS TO YOU 0444,ENFIELD,151.48,GBP,1.0
2017-04-20,2017-04-21,195.0,LB BARNET PCN ATP,LONDON,195.0,GBP,1.0
2017-04-20,2017-04-21,195.0,LB BARNET PCN ATP,LONDON,195.0,GBP,1.0
2017-04-20,2017-04-21,195.0,LB BARNET PCN ATP,LONDON,195.0,GBP,1.0
2017-04-20,2017-04-21,242.5,DVLA VEHICLE TAX,0300 1234321,242.5,GBP,1.0
2017-04-20,2017-04-21,242.5,DVLA VEHICLE TAX,0300 1234321,242.5,GBP,1.0
2017-04-19,2017-04-21,193.0,AA VEHICLE INSPECTIONS,BASINGSTOKE,193.0,GBP,1.0
2017-04-19,2017-04-21,241.57,AA VEHICLE INSPECT INT,BASINGSTOKE,241.57,GBP,1.0
2017-04-20,2017-04-24,195.0,LONDON BOROUGH OF HARR,HARROW,195.0,GBP,1.0
2017-04-20,2017-04-24,195.0,LONDON BOROUGH OF HARR,HARROW,195.0,GBP,1.0
2017-04-20,2017-04-24,195.0,LONDON BOROUGH OF HARR,HARROW,195.0,GBP,1.0
2017-04-20,2017-04-24,195.0,LONDON BOROUGH OF HARR,HARROW,195.0,GBP,1.0
2017-04-25,2017-04-26,805.0,POST OFFICE COUNTER,LONDON,805.0,GBP,1.0
2017-04-25,2017-04-27,254.0,AA VEHICLE INSPECTIONS,BASINGSTOKE,254.0,GBP,1.0
2017-04-25,2017-04-27,254.0,AA VEHICLE INSPECTIONS,BASINGSTOKE,254.0,GBP,1.0
2017-04-25,2017-04-27,-193.0,AA VEHICLE INSPECTIONS,BASINGSTOKE,-193.0,GBP,1.0
2017-04-26,2017-04-28,-241.57,AA VEHICLE INSPECT INT,BASINGSTOKE,-241.57,GBP,1.0
2017-04-18,2017-04-19,26.88,POST OFFICE COUNTER,EDGWARE,26.88,GBP,1.0
2017-04-18,2017-04-19,6.3,TESCO STORES 5655,EDGWARE,6.3,GBP,1.0
2017-04-27,2017-04-28,20.0,OYSTER AUTOTOPUP,0343 2221234,20.0,GBP,1.0
2017-04-30,2017-01-05,20.0,OYSTER AUTOTOPUP,0343 2221234,20.0,GBP,1.0
2017-04-28,2017-01-05,4.0,POUNDLAND LTD 1181,EDGWARE,4.0,GBP,1.0
2017-01-04,2017-04-04,5.0,CREATESEND/COM,SYDNEY,5.0,GBP,1.0
2017-04-04,2017-05-04,17.0,CREATESEND/COM,SYDNEY,17.0,GBP,1.0
2017-06-04,2017-07-04,4.95,RECIPERO,RECIPERO,4.95,GBP,1.0
2017-04-18,2017-04-19,100.0,EB  NATIONAL AMHP LEAD,801-413-7200,100.0,GBP,1.0
2017-04-19,2017-04-20,5.7,AMAZON UK MARKETPLACE,800-279-6620,5.7,GBP,1.0
2017-04-19,2017-04-20,33.06,AMAZON UK MARKETPLACE,800-279-6620,33.06,GBP,1.0
2017-04-19,2017-04-20,8.2,WAITROSE 124,WHETSTONE,8.2,GBP,1.0
2017-04-20,2017-04-21,2.47,AMAZON UK MARKETPLACE,800-279-6620,2.47,GBP,1.0
2017-04-19,2017-04-21,35.95,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,35.95,GBP,1.0
2017-01-05,2017-02-05,5.0,CREATESEND/COM,SYDNEY,5.0,GBP,1.0
2017-08-04,2017-10-04,20.0,OYSTER BUS AUTOTOP,0343 2221234,20.0,GBP,1.0
2017-06-04,2017-07-04,116.39,WWW.NISBETS.COM,0845 1110281,116.39,GBP,1.0
2017-04-18,2017-04-19,118.46,TESCO STORES 6440,LONDON EN8,118.46,GBP,1.0
2017-04-24,2017-04-25,188.63,TESCO STORES 6440,LONDON EN8,188.63,GBP,1.0
2017-02-05,2017-03-05,111.79,TESCO STORES 6440,LONDON EN8,111.79,GBP,1.0
2017-06-04,2017-07-04,174.0,HMCOURTS-SERVICE.G,0845940111,174.0,GBP,1.0
2017-04-19,2017-04-20,2799.0,HMCOURTS-SERVICE.G,08459400111,2799.0,GBP,1.0
2017-04-24,2017-04-25,245.0,HMCOURTS-SERVICE.G,0845940111,245.0,GBP,1.0
2017-04-24,2017-04-25,1225.0,HMCOURTS-SERVICE.G,0845940111,1225.0,GBP,1.0
2017-04-28,2017-01-05,159.0,HMCOURTS-SERVICE.G,08459400111,159.0,GBP,1.0
2017-05-04,2017-07-04,127.98,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,127.98,GBP,1.0
2017-04-24,2017-04-25,20.0,OYSTER AUTOSETTLE,0343 2221234,20.0,GBP,1.0
2017-04-26,2017-04-27,40.0,OYSTER BUS AUTOTOP,0343 2221234,40.0,GBP,1.0
2017-07-04,2017-10-04,41.44,ARGOS RETAIL GROUP,INTERNET,41.44,GBP,1.0
2017-07-04,2017-10-04,159.99,ARGOS RETAIL GROUP,INTERNET,159.99,GBP,1.0
2017-10-04,2017-11-04,458.0,CRAZY DISCOUNTS,LONDON  N12,458.0,GBP,1.0
2017-04-13,2017-04-14,45.88,ARGOS RETAIL GROUP,INTERNET,45.88,GBP,1.0
2017-12-04,2017-04-14,181.34,WWW.ARGOS.CO.UK,INTERNET,181.34,GBP,1.0
2017-04-19,2017-04-20,149.99,CURRYS ONLINE,HEMEL HEMPSTE,149.99,GBP,1.0
2017-04-19,2017-04-20,114.82,ARGOS RETAIL GROUP,INTERNET,114.82,GBP,1.0
2017-02-05,2017-03-05,81.9,ARGOS RETAIL GROUP,INTERNET,81.9,GBP,1.0
2017-04-04,2017-05-04,6.0,TESCO DELIVERY SAVER2,01707298000,6.0,GBP,1.0
2017-10-04,2017-11-04,22.0,POUNDLAND LTD,WILLENHALL,22.0,GBP,1.0
2017-04-19,2017-04-20,155.97,AMAZON UK MARKETPLACE,800-279-6620,155.97,GBP,1.0
2017-04-19,2017-04-20,74.98,AMAZON UK MARKETPLACE,800-279-6620,74.98,GBP,1.0
2017-05-04,2017-06-04,1.87,WESTMINSTER PARKING,LONDON,1.87,GBP,1.0
2017-05-04,2017-06-04,5.85,EAT,LONDON  EC1N,5.85,GBP,1.0
2017-05-04,2017-06-04,2.4,LB CAMDEN PARKING,CAMDEN,2.4,GBP,1.0
2017-12-04,2017-04-13,9.4,LB CAMDEN PARKING,CAMDEN,9.4,GBP,1.0
2017-12-04,2017-04-13,7.0,OASIS COFFEE SHOP,LONDON,7.0,GBP,1.0
2017-04-18,2017-04-19,17.0,A&Y LOCKSMITHS,BOREHAMWOOD W,17.0,GBP,1.0
2017-04-26,2017-04-27,59.5,ASDA GEORGE COM LEEDS,LEEDS,59.5,GBP,1.0
2017-04-20,2017-04-21,69.0,WWW.ISTOCK.COM,866-478-6251,69.0,GBP,1.0
2017-04-20,2017-04-21,132.0,WWW.ISTOCK.COM,866-478-6251,132.0,GBP,1.0
2017-04-21,2017-04-24,699.0,WWW.GETTYIMAGES.COM,0800-376-7977,699.0,GBP,1.0
2017-12-04,2017-04-13,10.95,KFC BARNET,BARNET,10.95,GBP,1.0
2017-04-13,2017-04-14,27.85,NEPTUNES,SOUTHEND-ON-S,27.85,GBP,1.0
2017-04-13,2017-04-14,34.0,ADVENTURE ISLAND,SOUTHEND ON S,34.0,GBP,1.0
2017-04-13,2017-04-14,40.4,LIVERPOOL STREET TICKE,LONDON,40.4,GBP,1.0
2017-04-13,2017-04-14,19.0,BABA CONFECTIONERY,LONDON,19.0,GBP,1.0
2017-04-13,2017-04-14,32.9,CAMPAIGNMONITOR,SYDNEY,40.0,USD,1.22
2017-04-17,2017-04-19,72.83,CAMPAIGNMONITOR,SYDNEY,89.0,USD,1.22
2017-04-21,2017-04-24,39.53,CAMPAIGNMONITOR,SYDNEY,49.0,USD,1.24
2017-03-04,2017-04-04,30.0,HOLLOWAY PLASTICS LTD,WALSALL,30.0,GBP,1.0
2017-04-04,2017-05-04,329.99,LEGO EDUCATION,0080053465555,329.99,GBP,1.0
2017-03-04,2017-05-04,8.33,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,8.33,GBP,1.0
2017-05-04,2017-06-04,9.98,AMAZON UK MARKETPLACE,800-279-6620,9.98,GBP,1.0
2017-05-04,2017-06-04,38.82,AMAZON UK MARKETPLACE,800-279-6620,38.82,GBP,1.0
2017-05-04,2017-06-04,27.49,AMAZON UK MARKETPLACE,800-279-6620,27.49,GBP,1.0
2017-05-04,2017-06-04,24.76,AMAZON UK MARKETPLACE,800-279-6620,24.76,GBP,1.0
2017-05-04,2017-06-04,8.97,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,8.97,GBP,1.0
2017-05-04,2017-06-04,5.3,AMAZON EU,AMAZON.CO.UK,5.3,GBP,1.0
2017-05-04,2017-06-04,6.27,AMAZON UK MARKETPLACE,800-279-6620,6.27,GBP,1.0
2017-05-04,2017-06-04,220.26,WWW.CARSUK.ORG,INTERNET,220.26,GBP,1.0
2017-06-04,2017-07-04,23.99,AMAZON UK MARKETPLACE,800-279-6620,23.99,GBP,1.0
2017-06-04,2017-07-04,15.2,AMAZON UK MARKETPLACE,800-279-6620,15.2,GBP,1.0
2017-06-04,2017-07-04,6.43,AMAZON UK MARKETPLACE,800-279-6620,6.43,GBP,1.0
2017-05-04,2017-07-04,59.22,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,59.22,GBP,1.0
2017-06-04,2017-10-04,10.28,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,10.28,GBP,1.0
2017-06-04,2017-10-04,9.0,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,9.0,GBP,1.0
2017-10-04,2017-11-04,9.81,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,9.81,GBP,1.0
2017-10-04,2017-11-04,5.99,AMAZON UK MARKETPLACE,800-279-6620,5.99,GBP,1.0
2017-11-04,2017-12-04,240.0,BROADCAST RADIO LTD,441482350700,240.0,GBP,1.0
2017-10-04,2017-12-04,324.36,ENVIRO WASTE LONDON LT,02085565056,324.36,GBP,1.0
2017-04-24,2017-04-25,1.5,L B BARNET PARKING,LONDON,1.5,GBP,1.0
2017-04-25,2017-04-26,96.64,TESCO STORE 2122,BRENT PARK,96.64,GBP,1.0
2017-03-04,2017-04-04,129.88,AMAZON UK MARKETPLACE,800-279-6620,129.88,GBP,1.0
2017-03-04,2017-04-04,42.98,AMAZON UK MARKETPLACE,800-279-6620,42.98,GBP,1.0
2017-04-04,2017-05-04,27.18,ARGOS RETAIL GROUP,INTERNET,27.18,GBP,1.0
2017-04-04,2017-05-04,69.99,AMAZON UK MARKETPLACE,800-279-6620,69.99,GBP,1.0
2017-04-04,2017-05-04,278.94,ARGOS RETAIL GROUP,INTERNET,278.94,GBP,1.0
2017-05-04,2017-06-04,455.87,CARPETRIGHT,COLINDALE,455.87,GBP,1.0
